a,a,
aardvark,ardvark,
abaci,abusi,
aback,ubak,
abacus,abucus,
abaft,ubaft,
abalone,abuloeny,
abandon,ubandun,
abandoned,ubandund,
abandonment,ubandunmunt,
abase,ubaes,
abasement,ubaesmunt,
abash,ubash,
abashed,ubasht,
abate,ubaet,
abatement,ubaetmunt,
abattoir,abutwar,
abbess,abus,
abbey,aby,
abbot,abut,
abbreviate,ubreeveaet,
abbreviation,ubryveaeshun,
abdicate,abducaet,
abdication,abducaeshun,
abdomen,abdumun,
abdominal,abdomunul,
abduct,abduct,
abduction,abducshun,
abductor,abductur,
abeam,ubeem,
abed,ubed,
aberrant,aburunt,
aberration,aburaeshun,
abet,ubet,
abeyance,ubauns,
abhor,abhor,
abhorrence,abhoruns,
abhorrent,abhorunt,
abide,ubied,
abiding,ubieding,
ability,ubiluty,
abject,abject,
abjectly,abjectly,
abjure,abjoor,
ablaze,ublaez,
able,aebul,
able-bodied,aebul-bodyd,
ably,aebly,
abnegation,abnugaeshun,
abnormal,abnormul,
abnormality,abnormaluty,
abnormally,abnormuly,
aboard,ubord,
abode,uboed,
abolish,ubolish,
abolition,abulishun,
abolitionist,abulishunist,
A-bomb,A-bom,
abominable,ubomunubul,
abominably,ubomunubly,
abominate,ubomunaet,
abomination,ubomunaeshun,
aboriginal,aburijunul,
aborigine,aburijuny,
abort,ubort,
abortion,uborshun,
abortionist,uborshunist,
abortive,ubortiv,
abound,ubound,
about,ubout,
about-face,ubout-faes,
above,ubuv,
aboveboard,ubuvbord,
abracadabra,abrucudabra,
abrade,ubraed,
Abraham,Abraham,
Abraham,Aebruham,
abrasion,ubraezhun,
abrasive,ubraesiv,
abrasively,ubraesivly,
abreast,ubrest,
abridge,ubrij,
abridgment,ubrijmunt,
abroad,ubrod,
abrogate,abrugaet,
abrogation,abrugaeshun,
abrupt,ubrupt,
abruptly,ubruptly,
abruptness,ubruptnus,
abscess,abses,
abscessed,absest,
abscond,abscond,
absence,absuns,
absent,absunt,
absentee,absuntee,
absenteeism,absunteizum,
absently,absuntly,
absent-minded,absunt-miendud,
absent-mindedly,absunt-miendudly,
absent-mindedness,absunt-miendudnus,
absinthe,absinth,
absolute,absuloot,
absolutely,absulootly,
absolution,absulooshun,
absolutism,absulootizum,
absolve,ubzolv,
absorb,ubsorb,
absorbed,ubsorbd,
absorbency,ubsorbunsy,
absorbent,ubsorbunt,
absorbing,ubsorbing,
absorption,ubsorpshun,
abstain,ubstaen,
abstainer,ubstaenur,
abstemious,absteemeus,
abstention,ubstenchun,
abstinence,abstununs,
abstinent,abstununt,
abstract,abstract,adj
abstract,abstract,v
abstracted,abstractud,
abstraction,abstracshun,
abstractly,abstractly,
abstractness,abstractnus,
abstruse,abstroos,
abstrusely,abstroosly,
abstruseness,abstroosnus,
absurd,ubsurd,
absurdity,ubsurduty,
absurdly,ubsurdly,
abundance,ubunduns,
abundant,ubundunt,
abundantly,ubunduntly,
abuse,ubues,n
abuse,ubuez,v
abusing,ubuezing,
abusive,ubuesiv,
abusively,ubuesivly,
abusiveness,ubuesivnus,
abut,ubut,
abutment,ubutmunt,
abysmal,ubizmul,
abysmally,ubizmuly,
abyss,ubis,
acacia,ucaesha,
academia,acudeemea,
academic,acudemic,
academically,acudemicly,
academician,acudumishun,
academy,ucadumy,
accede,axeed,
accelerate,axeluraet,
acceleration,axeluraeshun,
accelerator,axeluraetur,
accent,axent,
accented,axentud,
accentuate,axenchuaet,
accentuation,axenchuaeshun,
accept,axept,
acceptability,axeptubiluty,
acceptable,axeptubul,
acceptably,axeptubly,
acceptance,axeptuns,
accepted,axeptud,
access,axes,
accessibility,axesubiluty,
accessible,axesubul,
accessibly,axesubly,
accession,axeshun,
accessory,axesury,
accident,axudunt,
accidental,axudentul,
accidentally,axudentuly,
accident-prone,axudunt-proen,
acclaim,uclaem,
acclaimed,uclaemd,
acclamation,aclumaeshun,
acclimate,aclumaet,
acclimation,aclumaeshun,
acclimatization,ucliemutuzaeshun,
acclimatize,ucliemutiez,
accolade,aculaed,
accommodate,ucomudaet,
accommodating,ucomudaeting,
accommodation,ucomudaeshun,
accommodations,ucomudaeshunz,
accompaniment,ucumpunymunt,
accompanist,ucumpunist,
accompany,ucumpuny,
accomplice,ucomplus,
accomplish,ucomplish,
accomplished,ucomplisht,
accomplishment,ucomplishmunt,
accord,ucord,
accordance,ucorduns,
accordingly,ucordingly,
accordion,ucordeun,
accost,ucost,
account,ucount,
accountability,ucountubiluty,
accountable,ucountubul,
accountant,ucountunt,
accounting,ucounting,
accouterments,ucooturmunts,
accredit,ucredut,
accreditation,ucredutaeshun,
accredited,ucredutud,
accrue,ucru,
accumulate,ucuemyulaet,
accumulation,ucuemyulaeshun,
accumulative,ucuemyulaetiv,
accuracy,acyurusy,
accurate,acyurut,
accurately,acyurutly,
accurateness,acyurutnus,
accursed,ucurst,
accusation,acuezaeshun,
accusative,ucuezutiv,
accusatory,ucuezutory,
accuse,ucuez,
accused,ucuezd,
accuser,ucuezur,
accusing,ucuezing,
accusingly,ucuezingly,
accustom,ucustum,
accustomed,ucustumd,
ace,aes,
acerbic,usurbic,
acerbity,usurbuty,
acetaminophen,usytuminufun,
acetate,asutaet,
acetone,asutoen,
acetylene,usetulyn,
ache,aek,
achievable,ucheevubul,
achieve,ucheev,
achievement,ucheevmunt,
achiever,ucheevur,
achoo,uchu,
achy,aeky,
acid,asud,
acidic,usidic,
acidify,usidufi,
acidity,usiduty,
acidly,asudly,
acknowledge,acnolij,
acknowledged,acnolijd,
acknowledgement,acnolijmunt,
acknowledgment,acnolijmunt,
acme,acmy,
acne,acny,
acolyte,aculiet,
acorn,aecorn,
acoustic,ucoostic,
acoustical,ucoosticul,
acoustically,ucoosticly,
acoustics,ucoostics,
acquaint,uquaent,
acquaintance,uquaentuns,
acquainted,uquaentud,
acquiesce,aquees,
acquiescence,aqueesuns,
acquiescent,aqueesunt,
acquire,uquier,
acquirement,uquiermunt,
acquisition,aquuzishun,
acquisitive,uquizutiv,
acquisitiveness,uquizutivnus,
acquit,uquit,
acquittal,uquitul,
acre,aecur,
acreage,aecurij,
acrid,acrud,
acrimonious,acrumoeneus,
acrimony,acrumoeny,
acrobat,acrubat,
acrobatic,acrubatic,
acrobatics,acrubatics,
acronym,acrunim,
acropolis,ucropulus,
across,ucros,
across-the-board,ucros-the-bord,
acrylic,ucrilic,
act,act,
acting,acting,
action,acshun,
activate,actuvaet,
activation,actuvaeshun,
active,activ,
actively,activly,
activism,actuvizum,
activist,actuvist,
activity,activuty,
actor,actur,
actress,actrus,
actual,acchuul,
actuality,acchualuty,
actualization,acchuuluzaeshun,
actualize,acchuuliez,
actually,acchuuly,
actuarial,acchuereul,
actuary,acchuery,
actuate,acchuaet,
acuity,ucueuty,
acumen,ucuemun,
acupuncture,acyupuncchur,
acupuncturist,acyupuncchurist,
acute,ucuet,
acutely,ucuetly,
acuteness,ucuetnus,
ad,ad,
adage,adij,
adagio,udojo,
Adam,Adam,
Adam,Adum,
adamant,adumunt,
adamantly,adumuntly,
adapt,udapt,
adaptability,udaptubiluty,
adaptable,udaptubul,
adaptation,adaptaeshun,
adapter,udaptur,
add,ad,
addend,adend,
addenda,udenda,
addendum,udendum,
adder,adur,
addict,adict,n
addict,udict,v
addicted,udictud,
addiction,udicshun,
addictive,udictiv,
addition,udishun,
additional,udishunul,
additionally,udishunuly,
additive,adutiv,
addle,adul,
address,udres,
addressee,adresee,
adduce,udoos,
adenoidal,adunoidul,
adenoids,adunoidz,
adept,udept,adj
adept,adept,n
adeptly,udeptly,
adeptness,udeptnus,
adequacy,aduquusy,
adequate,aduquut,
adequately,aduquutly,
adhere,adhir,
adherence,adhiruns,
adherent,adhirunt,
adhesion,adheezhun,
adhesive,adheesiv,
adieu,udu,
adios,odeoes,
adipose,adupoes,
adjacent,ujaesunt,
adjectival,ajictievul,
adjectivally,ajictievuly,
adjective,ajictiv,
adjoin,ujoin,
adjoining,ujoining,
adjourn,ujurn,
adjournment,ujurnmunt,
adjudge,ujuj,
adjudicate,ujoodicaet,
adjudication,ujoodicaeshun,
adjudicator,ujoodicaetur,
adjunct,ajunct,
adjure,ujoor,
adjust,ujust,
adjustable,ujustubul,
adjuster,ujustur,
adjustment,ujustmunt,
adjutant,ajutunt,
ad-lib,ad-lib,
adman,adman,
administer,udminustur,
administrate,udminustraet,
administration,udminustraeshun,
administrative,udminustraetiv,
administrator,udminustraetur,
admirable,admurubul,
admirably,admurubly,
admiral,admurul,
admiralty,admurulty,
admiration,admuraeshun,
admire,udmier,
admirer,udmierur,
admiring,udmiering,
admiringly,udmieringly,
admissibility,udmisubiluty,
admissible,udmisubul,
admission,udmishun,
admit,udmit,
admittance,udmituns,
admittedly,udmitudly,
admixture,admixchur,
admonish,admonish,
admonishment,admonishmunt,
admonition,admunishun,
admonitory,udmonutory,
ado,udu,
adobe,udoeby,
adolescence,adulesuns,
adolescent,adulesunt,
adopt,udopt,
adopted,udoptud,
adoption,udopshun,
adoptive,udoptiv,
adorable,udorubul,
adorably,udorubly,
adoration,aduraeshun,
adore,udor,
adorn,udorn,
adornment,udornmunt,
adrenal,udreenul,
adrenaline,udrenulun,
adrift,udrift,
adroit,udroit,
adroitly,udroitly,
adroitness,udroitnus,
adulate,ajulaet,
adulation,ajulaeshun,
adult,udult,
adulterant,udulturunt,
adulterate,udulturaet,
adulteration,udulturaeshun,
adulterer,udulturur,
adulteress,udulturus,
adulterous,udulturus,
adultery,udultury,
adulthood,udulthood,
advance,udvans,
advanced,udvanst,
advancement,udvansmunt,
advances,udvansuz,
advantage,udvantij,
advantageous,advantaejus,
advantageously,advantaejusly,
Advent,Advent,
advent,advent,
adventure,udvenchur,
adventurer,udvenchurur,
adventuresome,udvenchursum,
adventuress,udvenchurus,
adventurous,udvenchurus,
adventurously,udvenchurusly,
adverb,advurb,
adverbial,advurbeul,
adversarial,advursereul,
adversary,advursery,
adverse,advurs,
adversely,advursly,
adversity,advursuty,
advert,advurt,n
advert,advurt,v
advertise,advurtiez,
advertisement,advurtiezmunt,
advertiser,advurtiezur,
advertising,advurtiezing,
advice,udvies,
advisability,udviezubiluty,
advisable,udviezubul,
advise,udviez,
advisedly,udviezudly,
adviser,udviezur,
advisory,udviezury,
advocacy,advucusy,
advocate,advucut,n
advocate,advucaet,v
adz,adz,
aegis,eejus,
aerate,eraet,
aeration,eraeshun,
aerator,eraetur,
aerial,ereul,
aerialist,ereulist,
aerobatics,erubatics,
aerobic,eroebic,
aerobics,eroebics,
aerodynamic,eroedienamic,
aerodynamically,eroedienamicly,
aerodynamics,eroedienamics,
aeronautical,erunoticul,
aeronautics,erunotics,
aeroplane,eruplaen,
aerosol,erusol,
aerospace,eroespaes,
aesthete,esthyt,
aesthetic,esthetic,
aesthetically,estheticly,
aesthetics,esthetics,
afar,ufar,
affability,afubiluty,
affable,afubul,
affably,afubly,
affair,ufer,
affairs,uferz,
affect,ufect,
affectation,afectaeshun,
affected,ufectud,
affecting,ufecting,
affection,ufecshun,
affectionate,ufecshunut,
affectionately,ufecshunutly,
affidavit,afudaevut,
affiliate,ufileut,n
affiliate,ufileaet,v
affiliated,ufileaetud,
affiliation,ufileaeshun,
affinity,ufinuty,
affirm,ufurm,
affirmation,afurmaeshun,
affirmative,ufurmutiv,
affirmatively,ufurmutivly,
affix,afix,n
affix,ufix,v
afflict,uflict,
affliction,uflicshun,
affluence,afluuns,
affluent,afluunt,
afford,uford,
affordable,ufordubul,
afforest,uforust,
afforestation,uforustaeshun,
affray,ufray,
affront,ufrunt,
afghan,afgan,
aficionado,ufisheunodo,
afield,ufeeld,
afire,ufier,
aflame,uflaem,
afloat,ufloet,
aflutter,uflutur,
afoot,ufoot,
aforementioned,uformenchund,
aforesaid,uforsed,
afoul,ufoul,
afraid,ufraed,
afresh,ufresh,
Africa,Africa,
African,Africun,
African-American,African-American,
African-American,Africun-Umerucun,
Afrikaans,Afrikaans,
Afrikaans,Afruconz,
Afro,Afro,
Afro-American,Afro-American,
Afro-American,Afro-Umerucun,
aft,aft,
after,aftur,
afterbirth,afturburth,
afterburner,afturburnur,
aftereffect,afturufect,
afterglow,afturglo,
afterlife,afturlief,
aftermath,afturmath,
afternoon,afturnoon,
aftershave,afturshaev,
aftershock,afturshok,
afterthought,afturthot,
afterward,afturwurd,
afterwards,afturwurdz,
afterword,afturwurd,
again,ugen,
against,ugenst,
agape,ugaep,
agate,agut,
agave,ugovy,
age,aej,
aged,aejd,
ageless,aejlus,
agency,aejunsy,
agenda,ujenda,
agendas,ujendaz,
agent,aejunt,
age-old,aej-oeld,
ages,aejuz,
agglomeration,uglomuraeshun,
agglutination,uglootunaeshun,
aggrandize,ugrandiez,
aggrandizement,ugrandiezmunt,
aggravate,agruvaet,
aggravating,agruvaeting,
aggravation,agruvaeshun,
aggregate,agrugut,n
aggregate,agrugaet,v
aggregation,agrugaeshun,
aggression,ugreshun,
aggressive,ugresiv,
aggressively,ugresivly,
aggressiveness,ugresivnus,
aggressor,ugresur,
aggrieved,ugreevd,
aghast,ugast,
agile,ajul,
agilely,ajuly,
agility,ujiluty,
aging,aejing,
agitate,ajutaet,
agitated,ajutaetud,
agitation,ajutaeshun,
agitator,ajutaetur,
aglitter,uglitur,
aglow,uglo,
agnostic,agnostic,
agnosticism,agnostusizum,
ago,ugo,
agog,ugog,
agonize,aguniez,
agonized,aguniezd,
agonizing,aguniezing,
agonizingly,aguniezingly,
agony,aguny,
agrarian,ugrereun,
agree,ugree,
agreeable,ugreubul,
agreeably,ugreubly,
agreed,ugreed,
agreeing,ugreing,
agreement,ugreemunt,
agribusiness,agrubiznus,
agricultural,agruculchurul,
agriculture,agruculchur,
agronomist,ugronumist,
agronomy,ugronumy,
aground,uground,
ague,aegue,
ah,aa,
aha,ohaa,
ahead,uhed,
ahem,uhem,
ahoy,uhoy,
aid,aed,
aide,aed,
aide-de-camp,aed-du-camp,
aides-de-camp,aedz-du-camp,
ail,ael,
aileron,aeluron,
ailing,aeling,
ailment,aelmunt,
aim,aem,
aimless,aemlus,
aimlessly,aemlusly,
aimlessness,aemlusnus,
ain't,aent,
air,er,
airbag,erbag,
airborne,erborn,
airbrush,erbrush,
air-condition,er-cundishun,
air-conditioned,er-cundishund,
aircraft,ercraft,
airfare,erfer,
airfield,erfeeld,
airhead,erhed,
airily,eruly,
airing,ering,
airless,erlus,
airlift,erlift,
airline,erlien,
airliner,erlienur,
airlock,erlok,
airmail,ermael,
airman,ermun,
airplane,erplaen,
airport,erport,
airs,erz,
airship,ership,
airsick,ersik,
airsickness,ersiknus,
airspace,erspaes,
airstrike,erstriek,
airstrip,erstrip,
airtight,ertiet,
airtime,ertiem,
airwaves,erwaevz,
airway,erway,
airy,ery,
aisle,iel,
ajar,ujar,
akimbo,ukimbo,
akin,ukin,
alabaster,alubastur,
alacrity,ulacruty,
alarm,ularm,
alarmed,ularmd,
alarming,ularming,
alarmingly,ularmingly,
alarmist,ularmist,
alas,ulas,
albacore,albucor,
Albanian,Albanian,
Albanian,Albaeneun,
albatross,albutros,
albeit,olbeit,
albino,albieno,
album,album,
albumen,albuemun,
albumin,albuemun,
alchemist,alcumist,
alchemy,alcumy,
alcohol,alcuhol,
alcoholic,alcuholic,
alcoholism,alcuholizum,
alcove,alcoev,
alder,oldur,
alderman,oldurmun,
alderwoman,oldurwoomun,
ale,ael,
alert,ulurt,
alertly,ulurtly,
alertness,ulurtnus,
alfalfa,alfalfa,
alfresco,alfresco,
alga,alga,
algae,aljy,
algebra,aljubra,
algebraic,aljubraic,
algebraically,aljubraicly,
algorithm,algurithum,
alias,aeleus,
alibi,alubi,
alien,aeleun,
alienate,aeleunaet,
alienated,aeleunaetud,
alienation,aeleunaeshun,
alight,uliet,
align,ulien,
alignment,ulienmunt,
alike,uliek,
alimentary,alumentury,
alimony,alumoeny,
alit,ulit,
alive,uliev,
alkali,alculi,
alkaline,alculien,
alkalinity,alculinuty,
alkaloid,alculoid,
all,ol,
Allah,Allah,
Allah,Ala,
all-American,ol-American,
all-American,ol-Umerucun,
all-around,ol-uround,
allay,ulay,
all-clear,ol-clir,
allegation,alugaeshun,
allege,ulej,
alleged,ulejd,
allegedly,ulejudly,
allegiance,uleejuns,
allegorical,alugoricul,
allegorically,alugoricly,
allegory,alugory,
allegro,ulegro,
allergen,alurjun,
allergic,ulurjic,
allergy,alurjy,
alleviate,uleeveaet,
alleviation,ulyveaeshun,
alley,aly,
alliance,uliuns,
allied,alied,
alligator,alugaetur,
all-inclusive,ol-incloosiv,
alliteration,ulituraeshun,
alliterative,uliturutiv,
allocate,alucaet,
allocation,alucaeshun,
allot,ulot,
allotment,ulotmunt,
all-out,ol-out,
allover,oloevur,
allow,ulow,
allowable,ulowubul,
allowance,ulowuns,
alloy,aloy,
all-purpose,ol-purpus,
all-round,ol-round,
allspice,olspies,
all-star,ol-star,
all-time,ol-tiem,
allude,ulood,
allure,uloor,
alluring,ulooring,
allusion,uloozhun,
allusive,uloosiv,
alluvial,ulooveul,
ally,ali,n
ally,uli,v
almanac,olmunak,
almighty,olmiety,
almond,omund,
almost,olmoest,
alms,omz,
aloe,alo,
aloft,uloft,
aloha,uloeha,
alone,uloen,
along,ulong,
alongside,ulongsied,
aloof,uloof,
aloofness,uloofnus,
aloud,uloud,
alpaca,alpaca,
alpacas,alpacaz,
alpha,alfa,
alphabet,alfubet,
alphabetic,alfubetic,
alphabetical,alfubeticul,
alphabetically,alfubeticly,
alphabetize,alfubutiez,
alphanumeric,alfunoomeric,
alpine,alpien,
already,olredy,
alright,olriet,
also,olso,
also-ran,olso-ran,
altar,oltur,
alter,oltur,
alteration,olturaeshun,
altercation,olturcaeshun,
alternate,olturnut,adj
alternate,olturnaet,v
alternately,olturnutly,
alternation,olturnaeshun,
alternative,olturnutiv,
alternatively,olturnutivly,
alternator,olturnaetur,
although,oltho,
altimeter,altimutur,
altitude,altutood,
alto,alto,
altogether,oltugethur,
altruism,altruizum,
altruist,altruist,
altruistic,altruistic,
altruistically,altruisticly,
alum,alum,
alum,ulum,
aluminum,uloomunum,
alumna,ulumna,
alumnae,ulumny,
alumni,ulumni,
alumnus,ulumnus,
always,olwaez,
am,am,
amalgam,umalgum,
amalgamate,umalgumaet,
amalgamation,umalgumaeshun,
amaryllis,amurilus,
amass,umas,
amateur,amutur,
amateurish,amuturish,
amateurism,amuturizum,
amatory,amutory,
amaze,umaez,
amazed,umaezd,
amazement,umaezmunt,
amazing,umaezing,
amazingly,umaezingly,
Amazon,Amazon,
Amazon,Amuzon,
ambassador,ambasudur,
ambassadorial,ambasudoreul,
ambassadorship,ambasudurship,
amber,ambur,
ambiance,ambeuns,
ambidextrous,ambidextrus,
ambidextrously,ambidextrusly,
ambient,ambeunt,
ambiguity,ambugueuty,
ambiguous,ambigueus,
ambiguously,ambigueusly,
ambition,ambishun,
ambitious,ambishus,
ambitiously,ambishusly,
ambivalence,ambivuluns,
ambivalent,ambivulunt,
ambivalently,ambivuluntly,
amble,ambul,
ambrosia,ambroezha,
ambulance,ambyuluns,
ambulatory,ambyulutory,
